trial,fractal_left,fractal_right,prob_left,prob_right,reward_left,reward_right
1,fig/14.jpg,fig/1.jpg,0.700,0.300,1,1
2,fig/14.jpg,fig/1.jpg,0.671,0.287,1,1
3,fig/14.jpg,fig/1.jpg,0.665,0.308,1,1
4,fig/14.jpg,fig/1.jpg,0.647,0.309,1,1
5,fig/14.jpg,fig/1.jpg,0.628,0.287,1,1
6,fig/14.jpg,fig/1.jpg,0.634,0.291,1,1
7,fig/14.jpg,fig/1.jpg,0.596,0.314,1,1
8,fig/14.jpg,fig/1.jpg,0.603,0.299,1,1
9,fig/14.jpg,fig/1.jpg,0.636,0.303,1,1
10,fig/14.jpg,fig/1.jpg,0.663,0.285,1,1
11,fig/14.jpg,fig/1.jpg,0.648,0.298,1,1
12,fig/14.jpg,fig/1.jpg,0.664,0.262,1,1
13,fig/14.jpg,fig/1.jpg,0.663,0.274,1,1
14,fig/14.jpg,fig/1.jpg,0.622,0.269,1,1
15,fig/14.jpg,fig/1.jpg,0.605,0.302,1,1
16,fig/14.jpg,fig/1.jpg,0.655,0.263,1,1
17,fig/14.jpg,fig/1.jpg,0.658,0.279,1,1
18,fig/14.jpg,fig/1.jpg,0.668,0.250,1,1
19,fig/14.jpg,fig/1.jpg,0.700,0.254,1,1
20,fig/14.jpg,fig/1.jpg,0.690,0.255,1,1
21,fig/14.jpg,fig/1.jpg,0.693,0.250,1,1
22,fig/14.jpg,fig/1.jpg,0.694,0.267,1,1
23,fig/14.jpg,fig/1.jpg,0.699,0.290,1,1
24,fig/14.jpg,fig/1.jpg,0.704,0.289,1,1
25,fig/14.jpg,fig/1.jpg,0.707,0.307,1,1
26,fig/14.jpg,fig/1.jpg,0.717,0.317,1,1
27,fig/14.jpg,fig/1.jpg,0.742,0.274,1,1
28,fig/14.jpg,fig/1.jpg,0.742,0.258,1,1
29,fig/14.jpg,fig/1.jpg,0.737,0.250,1,1
30,fig/14.jpg,fig/1.jpg,0.749,0.250,1,1
31,fig/14.jpg,fig/1.jpg,0.748,0.250,1,1
32,fig/14.jpg,fig/1.jpg,0.720,0.259,1,1
33,fig/14.jpg,fig/1.jpg,0.747,0.302,1,1
34,fig/14.jpg,fig/1.jpg,0.728,0.290,1,1
35,fig/14.jpg,fig/1.jpg,0.742,0.300,1,1
36,fig/14.jpg,fig/1.jpg,0.750,0.343,1,1
37,fig/14.jpg,fig/1.jpg,0.750,0.342,1,1
38,fig/14.jpg,fig/1.jpg,0.750,0.315,1,1
39,fig/14.jpg,fig/1.jpg,0.750,0.315,1,1
40,fig/14.jpg,fig/1.jpg,0.722,0.310,1,1
41,fig/14.jpg,fig/1.jpg,0.746,0.292,1,1
42,fig/14.jpg,fig/1.jpg,0.702,0.286,1,1
43,fig/14.jpg,fig/1.jpg,0.684,0.288,1,1
44,fig/14.jpg,fig/1.jpg,0.677,0.278,1,1
45,fig/14.jpg,fig/1.jpg,0.658,0.266,1,1
46,fig/14.jpg,fig/1.jpg,0.660,0.267,1,1
47,fig/14.jpg,fig/1.jpg,0.672,0.250,1,1
48,fig/14.jpg,fig/1.jpg,0.659,0.262,1,1
49,fig/14.jpg,fig/1.jpg,0.658,0.304,1,1
50,fig/14.jpg,fig/1.jpg,0.688,0.250,1,1
51,fig/14.jpg,fig/1.jpg,0.688,0.250,1,1
52,fig/14.jpg,fig/1.jpg,0.660,0.258,1,1
53,fig/14.jpg,fig/1.jpg,0.648,0.284,1,1
54,fig/14.jpg,fig/1.jpg,0.632,0.278,1,1
55,fig/14.jpg,fig/1.jpg,0.603,0.254,1,1
56,fig/14.jpg,fig/1.jpg,0.596,0.250,1,1
57,fig/14.jpg,fig/1.jpg,0.590,0.250,1,1
58,fig/14.jpg,fig/1.jpg,0.542,0.250,1,1
59,fig/14.jpg,fig/1.jpg,0.527,0.250,1,1
60,fig/14.jpg,fig/1.jpg,0.541,0.280,1,1
61,fig/14.jpg,fig/1.jpg,0.537,0.284,1,1
62,fig/14.jpg,fig/1.jpg,0.516,0.290,1,1
63,fig/14.jpg,fig/1.jpg,0.510,0.254,1,1
64,fig/14.jpg,fig/1.jpg,0.525,0.250,1,1
65,fig/14.jpg,fig/1.jpg,0.518,0.250,1,1
66,fig/14.jpg,fig/1.jpg,0.528,0.255,1,1
67,fig/14.jpg,fig/1.jpg,0.561,0.250,1,1
68,fig/14.jpg,fig/1.jpg,0.533,0.264,1,1
69,fig/14.jpg,fig/1.jpg,0.536,0.258,1,1
70,fig/14.jpg,fig/1.jpg,0.555,0.250,1,1
71,fig/14.jpg,fig/1.jpg,0.532,0.264,1,1
72,fig/14.jpg,fig/1.jpg,0.561,0.269,1,1
73,fig/14.jpg,fig/1.jpg,0.566,0.292,1,1
74,fig/14.jpg,fig/1.jpg,0.551,0.294,1,1
75,fig/14.jpg,fig/1.jpg,0.555,0.291,1,1
76,fig/14.jpg,fig/1.jpg,0.570,0.333,1,1
77,fig/14.jpg,fig/1.jpg,0.541,0.263,1,1
78,fig/14.jpg,fig/1.jpg,0.554,0.261,1,1
79,fig/14.jpg,fig/1.jpg,0.530,0.278,1,1
80,fig/14.jpg,fig/1.jpg,0.519,0.280,1,1
81,fig/14.jpg,fig/1.jpg,0.541,0.250,1,1
82,fig/14.jpg,fig/1.jpg,0.546,0.250,1,1
83,fig/14.jpg,fig/1.jpg,0.569,0.259,1,1
84,fig/14.jpg,fig/1.jpg,0.582,0.261,1,1
85,fig/14.jpg,fig/1.jpg,0.589,0.272,1,1
86,fig/14.jpg,fig/1.jpg,0.583,0.288,1,1
87,fig/14.jpg,fig/1.jpg,0.555,0.309,1,1
88,fig/14.jpg,fig/1.jpg,0.565,0.313,1,1
89,fig/14.jpg,fig/1.jpg,0.570,0.356,1,1
90,fig/14.jpg,fig/1.jpg,0.586,0.372,1,1
91,fig/14.jpg,fig/1.jpg,0.568,0.398,1,1
92,fig/14.jpg,fig/1.jpg,0.590,0.421,1,1
93,fig/14.jpg,fig/1.jpg,0.600,0.453,1,1
94,fig/14.jpg,fig/1.jpg,0.596,0.475,1,1
95,fig/14.jpg,fig/1.jpg,0.627,0.494,1,1
96,fig/14.jpg,fig/1.jpg,0.614,0.485,1,1
97,fig/14.jpg,fig/1.jpg,0.597,0.473,1,1
98,fig/14.jpg,fig/1.jpg,0.582,0.505,1,1
99,fig/14.jpg,fig/1.jpg,0.594,0.506,1,1
100,fig/14.jpg,fig/1.jpg,0.589,0.525,1,1
