trial,fractal_left,fractal_right,prob_left,prob_right,reward_left,reward_right
1,fig/14.jpg,fig/13.jpg,0.700,0.300,1,1
2,fig/14.jpg,fig/13.jpg,0.628,0.257,1,1
3,fig/14.jpg,fig/13.jpg,0.693,0.250,1,1
4,fig/14.jpg,fig/13.jpg,0.485,0.405,1,1
5,fig/14.jpg,fig/13.jpg,0.459,0.273,1,1
6,fig/14.jpg,fig/13.jpg,0.484,0.256,1,1
7,fig/14.jpg,fig/13.jpg,0.467,0.250,1,1
8,fig/14.jpg,fig/13.jpg,0.588,0.250,1,1
9,fig/14.jpg,fig/13.jpg,0.538,0.310,1,1
10,fig/14.jpg,fig/13.jpg,0.474,0.622,1,1
11,fig/14.jpg,fig/13.jpg,0.330,0.593,1,1
12,fig/14.jpg,fig/13.jpg,0.481,0.750,1,1
13,fig/14.jpg,fig/13.jpg,0.581,0.750,1,1
14,fig/14.jpg,fig/13.jpg,0.500,0.750,1,1
15,fig/14.jpg,fig/13.jpg,0.740,0.750,1,1
16,fig/14.jpg,fig/13.jpg,0.750,0.642,1,1
17,fig/14.jpg,fig/13.jpg,0.483,0.696,1,1
18,fig/14.jpg,fig/13.jpg,0.611,0.707,1,1
19,fig/14.jpg,fig/13.jpg,0.391,0.750,1,1
20,fig/14.jpg,fig/13.jpg,0.503,0.526,1,1
21,fig/14.jpg,fig/13.jpg,0.366,0.562,1,1
22,fig/14.jpg,fig/13.jpg,0.379,0.625,1,1
23,fig/14.jpg,fig/13.jpg,0.480,0.496,1,1
24,fig/14.jpg,fig/13.jpg,0.464,0.708,1,1
25,fig/14.jpg,fig/13.jpg,0.494,0.674,1,1
26,fig/14.jpg,fig/13.jpg,0.516,0.657,1,1
27,fig/14.jpg,fig/13.jpg,0.495,0.523,1,1
28,fig/14.jpg,fig/13.jpg,0.490,0.618,1,1
29,fig/14.jpg,fig/13.jpg,0.486,0.750,1,1
30,fig/14.jpg,fig/13.jpg,0.750,0.340,1,1
31,fig/14.jpg,fig/13.jpg,0.584,0.410,1,1
32,fig/14.jpg,fig/13.jpg,0.626,0.577,1,1
33,fig/14.jpg,fig/13.jpg,0.317,0.623,1,1
34,fig/14.jpg,fig/13.jpg,0.250,0.750,1,1
35,fig/14.jpg,fig/13.jpg,0.250,0.750,1,1
36,fig/14.jpg,fig/13.jpg,0.250,0.696,1,1
37,fig/14.jpg,fig/13.jpg,0.311,0.635,1,1
38,fig/14.jpg,fig/13.jpg,0.478,0.750,1,1
39,fig/14.jpg,fig/13.jpg,0.640,0.750,1,1
40,fig/14.jpg,fig/13.jpg,0.750,0.680,1,1
41,fig/14.jpg,fig/13.jpg,0.750,0.750,1,1
42,fig/14.jpg,fig/13.jpg,0.750,0.728,1,1
43,fig/14.jpg,fig/13.jpg,0.750,0.750,1,1
44,fig/14.jpg,fig/13.jpg,0.580,0.608,1,1
45,fig/14.jpg,fig/13.jpg,0.598,0.344,1,1
46,fig/14.jpg,fig/13.jpg,0.750,0.285,1,1
47,fig/14.jpg,fig/13.jpg,0.668,0.250,1,1
48,fig/14.jpg,fig/13.jpg,0.678,0.327,1,1
49,fig/14.jpg,fig/13.jpg,0.471,0.258,1,1
50,fig/14.jpg,fig/13.jpg,0.683,0.387,1,1
51,fig/14.jpg,fig/13.jpg,0.677,0.525,1,1
52,fig/14.jpg,fig/13.jpg,0.719,0.556,1,1
53,fig/14.jpg,fig/13.jpg,0.657,0.544,1,1
54,fig/14.jpg,fig/13.jpg,0.750,0.650,1,1
